2025-08-30 13:40:47 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:40:47 | INFO     | src.main:main:108 | Parsed arguments: {'test': 'asd'}
2025-08-30 13:40:51 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:40:51 | ERROR    | src.main:main:102 | ❌ Error: Only named flags (--option) are allowed.
2025-08-30 13:40:51 | ERROR    | src.main:main:103 | Use --help for usage information.
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {'help': True}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {'flag': 'value'}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {'verbose': True, 'output': 'file.txt'}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | ERROR    | src.main:main:102 | ❌ Error: Only named flags (--option) are allowed.
2025-08-30 13:43:37 | ERROR    | src.main:main:103 | Use --help for usage information.
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | ERROR    | src.main:main:102 | ❌ Error: Only named flags (--option) are allowed.
2025-08-30 13:43:37 | ERROR    | src.main:main:103 | Use --help for usage information.
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | ERROR    | src.main:main:102 | ❌ Error: Only named flags (--option) are allowed.
2025-08-30 13:43:37 | ERROR    | src.main:main:103 | Use --help for usage information.
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | ERROR    | src.main:main:102 | ❌ Error: Only named flags (--option) are allowed.
2025-08-30 13:43:37 | ERROR    | src.main:main:103 | Use --help for usage information.
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | ERROR    | src.main:main:102 | ❌ Error: Only named flags (--option) are allowed.
2025-08-30 13:43:37 | ERROR    | src.main:main:103 | Use --help for usage information.
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | ERROR    | src.main:main:102 | ❌ Error: Only named flags (--option) are allowed.
2025-08-30 13:43:37 | ERROR    | src.main:main:103 | Use --help for usage information.
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {'help': True}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {'file': 'example.txt'}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {'verbose': True, 'output': 'result.txt'}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | INFO     | src.main:main:108 | Parsed arguments: {}
2025-08-30 13:43:37 | SUCCESS  | src.main:main:97 | 🚀 SCLI - Python CLI Project
2025-08-30 13:43:37 | ERROR    | src.main:main:102 | ❌ Error: Only named flags (--option) are allowed.
2025-08-30 13:43:37 | ERROR    | src.main:main:103 | Use --help for usage information.
